ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 21:04:58 208m





Sample number Relative time HS4D-50(28994).Ch1
  s V
743 1.486E-5 0.13346815
744 1.488E-5 0.13751264
745 1.49E-5 0.1536906
746 1.492E-5 0.1536906
747 1.494E-5 0.14155713
748 1.496E-5 0.14155713
749 1.498E-5 0.13346815
750 1.5E-5 0.12942366
751 1.502E-5 0.11729019
752 1.504E-5 0.11729019
753 1.506E-5 0.10111224
754 1.508E-5 0.097067747
755 1.51E-5 0.10515673
756 1.512E-5 0.10920122
757 1.514E-5 0.10111224
758 1.516E-5 0.10920122
759 1.518E-5 0.11729019
760 1.52E-5 0.10111224
761 1.522E-5 0.097067747
762 1.524E-5 0.10111224
763 1.526E-5 0.12133468
764 1.528E-5 0.12133468
765 1.53E-5 0.11324571
766 1.532E-5 0.11729019
767 1.534E-5 0.10920122
768 1.536E-5 0.10111224
769 1.538E-5 0.10920122
770 1.54E-5 0.11729019
771 1.542E-5 0.10920122
772 1.544E-5 0.097067747
773 1.546E-5 0.10515673
774 1.548E-5 0.10920122
775 1.55E-5 0.10111224
776 1.552E-5 0.088978768
777 1.554E-5 0.10111224
778 1.556E-5 0.10111224
779 1.558E-5 0.097067747
780 1.56E-5 0.097067747
781 1.562E-5 0.093023258
782 1.564E-5 0.097067747
783 1.566E-5 0.084934279
784 1.568E-5 0.080889789
785 1.57E-5 0.10515673
786 1.572E-5 0.11324571
787 1.574E-5 0.10515673
788 1.576E-5 0.088978768
789 1.578E-5 0.093023258
790 1.58E-5 0.093023258
791 1.582E-5 0.097067747
792 1.584E-5 0.097067747
793 1.586E-5 0.097067747
794 1.588E-5 0.088978768
795 1.59E-5 0.10111224
796 1.592E-5 0.11324571
797 1.594E-5 0.11729019
798 1.596E-5 0.12942366
799 1.598E-5 0.12537917
800 1.6E-5 0.12537917
801 1.602E-5 0.12133468
802 1.604E-5 0.12537917
803 1.606E-5 0.11729019
804 1.608E-5 0.12133468
805 1.61E-5 0.12537917
806 1.612E-5 0.11729019
807 1.614E-5 0.12133468
808 1.616E-5 0.10920122
809 1.618E-5 0.14560162
810 1.62E-5 0.16986856
811 1.622E-5 0.10920122
812 1.624E-5 0.10515673
813 1.626E-5 0.14964611
814 1.628E-5 0.1536906
815 1.63E-5 0.13751264
816 1.632E-5 0.088978768
817 1.634E-5 0.080889789
818 1.636E-5 0.14964611
819 1.638E-5 0.11324571
820 1.64E-5 0.080889789
821 1.642E-5 0.10920122
822 1.644E-5 0.14560162
823 1.646E-5 0.13751264
824 1.648E-5 0.12942366
825 1.65E-5 0.16177958
826 1.652E-5 0.17391305
827 1.654E-5 0.13751264
828 1.656E-5 0.10920122
829 1.658E-5 0.10515673
830 1.66E-5 0.14560162
831 1.662E-5 0.11324571
832 1.664E-5 0.0768453
833 1.666E-5 0.12537917
834 1.668E-5 0.16582407
835 1.67E-5 0.11324571
836 1.672E-5 0.12942366
837 1.674E-5 0.16986856
838 1.676E-5 0.16986856
839 1.678E-5 0.12537917
840 1.68E-5 0.12133468
841 1.682E-5 0.16177958
842 1.684E-5 0.13751264
843 1.686E-5 0.097067747
844 1.688E-5 0.11729019
845 1.69E-5 0.12537917
846 1.692E-5 0.093023258
847 1.694E-5 0.097067747
848 1.696E-5 0.13346815
849 1.698E-5 0.1536906
850 1.7E-5 0.12942366
851 1.702E-5 0.13751264
852 1.704E-5 0.14560162
853 1.706E-5 0.12942366
854 1.708E-5 0.11324571
855 1.71E-5 0.11729019
856 1.712E-5 0.14155713
857 1.714E-5 0.12942366
858 1.716E-5 0.11729019
859 1.718E-5 0.13346815
860 1.72E-5 0.13346815
861 1.722E-5 0.12942366
862 1.724E-5 0.12537917
863 1.726E-5 0.13346815
864 1.728E-5 0.14155713
865 1.73E-5 0.12942366
866 1.732E-5 0.13346815
867 1.734E-5 0.14155713
868 1.736E-5 0.13346815
869 1.738E-5 0.12537917
870 1.74E-5 0.12133468
871 1.742E-5 0.14155713
872 1.744E-5 0.12537917
873 1.746E-5 0.10515673
874 1.748E-5 0.11729019
875 1.75E-5 0.0768453
876 1.752E-5 0.10111224
877 1.754E-5 0.10515673
878 1.756E-5 0.12133468
879 1.758E-5 0.10920122
880 1.76E-5 0.084934279
881 1.762E-5 0.10111224
882 1.764E-5 0.12942366
883 1.766E-5 0.10920122
884 1.768E-5 0.12537917
885 1.77E-5 0.10515673
886 1.772E-5 0.10515673
887 1.774E-5 0.093023258
888 1.776E-5 0.10111224
889 1.778E-5 0.097067747
890 1.78E-5 0.097067747
891 1.782E-5 0.097067747
892 1.784E-5 0.10111224
893 1.786E-5 0.10920122
894 1.788E-5 0.11324571
895 1.79E-5 0.10515673
896 1.792E-5 0.12133468
897 1.794E-5 0.10920122
898 1.796E-5 0.10111224
899 1.798E-5 0.080889789
900 1.8E-5 0.097067747
