ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-11-08 20:56:29 582m





Sample number Relative time HS4D-50(28994).Ch1
  s V
829 0.00014158 0.020222447
830 0.0001416 0.024266937
831 0.00014162 0.032355916
832 0.00014164 0.036400405
833 0.00014166 0.036400405
834 0.00014168 0.032355916
835 0.0001417 0.036400405
836 0.00014172 0.036400405
837 0.00014174 0.032355916
838 0.00014176 0.032355916
839 0.00014178 0.040444895
840 0.0001418 0.044489384
841 0.00014182 0.036400405
842 0.00014184 0.032355916
843 0.00014186 0.032355916
844 0.00014188 0.032355916
845 0.0001419 0.028311426
846 0.00014192 0.040444895
847 0.00014194 0.028311426
848 0.00014196 0.024266937
849 0.00014198 0.024266937
850 0.000142 0.028311426
851 0.00014202 0.024266937
852 0.00014204 0.028311426
853 0.00014206 0.024266937
854 0.00014208 0.024266937
855 0.0001421 0.020222447
856 0.00014212 0.020222447
857 0.00014214 0.016177958
858 0.00014216 0.012133468
859 0.00014218 0.024266937
860 0.0001422 0.028311426
861 0.00014222 0.024266937
862 0.00014224 0.024266937
863 0.00014226 0.032355916
864 0.00014228 0.028311426
865 0.0001423 0.036400405
866 0.00014232 0.036400405
867 0.00014234 0.032355916
868 0.00014236 0.024266937
869 0.00014238 0.016177958
870 0.0001424 0.016177958
871 0.00014242 0.0040444895
872 0.00014244 0.0080889789
873 0.00014246 0.020222447
874 0.00014248 0.020222447
875 0.0001425 0.020222447
876 0.00014252 0.016177958
877 0.00014254 0.012133468
878 0.00014256 0.0080889789
879 0.00014258 0.0080889789
880 0.0001426 0.016177958
881 0.00014262 0.012133468
882 0.00014264 0.012133468
883 0.00014266 0.012133468
884 0.00014268 0.016177958
885 0.0001427 0.016177958
886 0.00014272 0.0080889789
887 0.00014274 0.0080889789
888 0.00014276 0.012133468
889 0.00014278 0.024266937
890 0.0001428 0.016177958
891 0.00014282 0.012133468
892 0.00014284 0.016177958
893 0.00014286 0.012133468
894 0.00014288 0.016177958
895 0.0001429 0.012133468
896 0.00014292 0.012133468
897 0.00014294 0.012133468
898 0.00014296 0.020222447
899 0.00014298 0.024266937
900 0.000143 0.024266937
901 0.00014302 0.020222447
902 0.00014304 0.016177958
903 0.00014306 0.0080889789
904 0.00014308 0.0040444895
905 0.0001431 0
906 0.00014312 0
907 0.00014314 0.0080889789
908 0.00014316 0.0040444895
909 0.00014318 0.012133468
910 0.0001432 0.020222447
911 0.00014322 0.020222447
912 0.00014324 0.012133468
913 0.00014326 0.012133468
914 0.00014328 0.012133468
915 0.0001433 0.0080889789
916 0.00014332 0
917 0.00014334 -0.0040444895
918 0.00014336 0.0040444895
919 0.00014338 0.012133468
920 0.0001434 0.0040444895
921 0.00014342 0.012133468
922 0.00014344 0.012133468
923 0.00014346 0.016177958
924 0.00014348 0.012133468
925 0.0001435 0.012133468
926 0.00014352 0.012133468
927 0.00014354 0.012133468
928 0.00014356 0.0040444895
929 0.00014358 0.0040444895
930 0.0001436 0.0040444895
931 0.00014362 0.0080889789
932 0.00014364 0.012133468
933 0.00014366 0.0080889789
934 0.00014368 0
935 0.0001437 -0.0040444895
936 0.00014372 0
937 0.00014374 0
938 0.00014376 0.0040444895
939 0.00014378 0.0080889789
940 0.0001438 0.0040444895
941 0.00014382 -0.0040444895
942 0.00014384 -0.0080889789
943 0.00014386 -0.0040444895
944 0.00014388 0
945 0.0001439 0.0040444895
946 0.00014392 0
947 0.00014394 0
948 0.00014396 0
949 0.00014398 -0.0040444895
950 0.000144 -0.016177958
951 0.00014402 -0.024266937
952 0.00014404 -0.012133468
953 0.00014406 0.0040444895
954 0.00014408 0.012133468
